proximityRef;time;proximity;rssi;accuracy
2.0;0;3;-76;6.32092239923679
2.0;1;3;-78;6.197300388729
2.0;2;3;-77;5.96896769133677
2.0;3;3;-77;5.76223049322723
2.0;4;3;-76;5.45986561789738
2.0;5;3;-76;5.20895822657079
2.0;6;3;-76;5.0021960444869
2.0;7;3;-76;4.84299140611412
2.0;8;3;-76;4.72227674020949
2.0;9;3;-76;4.63019486017625
2.0;10;3;-76;4.54412663023273
2.0;11;3;-73;4.14360683020145
2.0;12;3;-73;3.83741565584668
2.0;13;3;-75;3.79301765488496
2.0;14;3;-75;3.75820160702542
2.0;15;3;-74;3.65114847589506
2.0;16;3;-75;3.6413243610205
2.0;17;3;-75;3.63275557016196
2.0;18;3;-74;3.53558214326957
2.0;19;3;-74;3.45811554552586
2.0;20;3;-74;3.39653729446365
2.0;21;3;-74;3.3476821081949
2.0;22;3;-72;3.11910306477786
2.0;23;3;-71;2.85851814330182
2.0;24;2;-71;2.68807682483337
2.0;25;2;-73;2.70451011096182
2.0;26;2;-72;2.65943575324468
2.0;27;2;-71;2.54852088251319
2.0;28;2;-71;2.45733752820597
2.0;29;2;-70;2.31006111415017
2.0;30;2;-71;2.27312556049501
2.0;31;2;-71;2.24443141752729
2.0;32;2;-70;2.15080497817278
2.0;33;2;-70;2.08312078413405
2.0;34;2;-69;1.97213654591234
2.0;35;2;-69;1.88964772137514
2.0;36;2;-70;1.8911618424133
2.0;37;2;-70;1.89232325755698
2.0;38;2;-70;1.8932012986754
2.0;39;2;-70;1.89380618362971
2.0;40;2;-70;1.89421963873824
2.0;41;2;-70;1.89450798618216
2.0;42;2;-70;1.89471489959909
2.0;43;2;-70;1.89486896584092
2.0;44;2;-70;1.89498862706223
2.0;45;2;-71;1.93866045276784
2.0;46;2;-70;1.92916685521757
2.0;47;2;-70;1.9211881498283
2.0;48;2;-70;1.91486012143438
2.0;49;2;-70;1.91039542255104
2.0;50;2;-69;1.85392811402296
2.0;51;2;-71;1.91625407437289
2.0;52;2;-71;1.96960090944391
2.0;53;2;-70;1.95057765466362
2.0;54;2;-70;1.93637517400447
2.0;55;2;-69;1.8597721587512
2.0;56;2;-66;1.61468338117084
2.0;57;2;-66;1.47917293745487
2.0;58;2;-66;1.39652960112582
2.0;59;2;-65;1.3055544097153